educ,year,e35_component,cause,age,Females,Males,mxc_diff,sensitivity,result,result_rescaled
Higher,2016-2019,1.9216911507526655,Blood,35,1.4975029489512688e-6,2.285790103771086e-6,-7.882871548198171e-7,-48.606787125162384,3.831610592782677e-5,1.67568318839911e-5
Higher,2016-2019,1.9216911507526655,Blood,36,1.6430790322204318e-6,2.3179267898699045e-6,-6.748477576494727e-7,-47.60691426374773,3.212741933950085e-5,1.405032561901143e-5
Higher,2016-2019,1.9216911507526655,Blood,37,1.8013758593046752e-6,2.3630966180384677e-6,-5.617207587337925e-7,-46.607364476169266,2.6180324136136206e-5,1.1449474825129007e-5
Higher,2016-2019,1.9216911507526655,Blood,38,1.9729443094007663e-6,2.4239837344312254e-6,-4.5103942503045907e-7,-45.60816638569002,2.0571081143295137e-5,8.996377372988625e-6
Higher,2016-2019,1.9216911507526655,Blood,39,2.1582383426228914e-6,2.5037585473189517e-6,-3.4552020469606027e-7,-44.609352674022574,1.5413432667287024e-5,6.740776331693226e-6
Higher,2016-2019,1.9216911507526655,Blood,40,2.357586065690605e-6,2.6062601974666405e-6,-2.486741317760356e-7,-43.61096059087776,1.0844917760855432e-5,4.74282183206896e-6
Higher,2016-2019,1.9216911507526655,Blood,41,2.5711580210494397e-6,2.73623720257481e-6,-1.6507918152537016e-7,-42.613032556130065,7.034524536679903e-6,3.076417662770599e-6
Higher,2016-2019,1.9216911507526655,Blood,42,2.7989331641009316e-6,2.899668978413468e-6,-1.0073581431253636e-7,-41.61561687437574,4.192183053958769e-6,1.8333728065796646e-6
Higher,2016-2019,1.9216911507526655,Blood,43,3.040663209915537e-6,3.1042012581171717e-6,-6.353804820163478e-8,-40.61876857776189,2.580837275784883e-6,1.128680885049368e-6
Higher,2016-2019,1.9216911507526655,Blood,44,3.2958362705550424e-6,3.3597437145989926e-6,-6.390744404395025e-8,-39.62255042445197,2.532175924129262e-6,1.107399753546158e-6
Higher,2016-2019,1.9216911507526655,Blood,45,3.563803674677246e-6,3.678575162876769e-6,-1.1477148819952291e-7,-38.627034082789734,4.433282186415471e-6,1.9388130002560006e-6
Higher,2016-2019,1.9216911507526655,Blood,46,3.8451086661097e-6,4.0701738382638175e-6,-2.250651721541177e-7,-37.63230154195765,8.469720425096367e-6,3.7040737264658474e-6
Higher,2016-2019,1.9216911507526655,Blood,47,4.1412295663316356e-6,4.542437268771551e-6,-4.012077024399157e-7,-36.638446646945454,1.469962700018842e-5,6.4286067812712255e-6
Higher,2016-2019,1.9216911507526655,Blood,48,4.454055152909104e-6,5.103730372129862e-6,-6.496752192207579e-7,-35.64557676828509,2.315804790118597e-5,1.012773887233055e-5
Higher,2016-2019,1.9216911507526655,Blood,49,4.785939737494458e-6,5.762215019506282e-6,-9.76275282011824e-7,-34.65381466423961,3.3831662684116005e-5,1.4795644552749606e-5
Higher,2016-2019,1.9216911507526655,Blood,50,5.1397733351303735e-6,6.524906598204845e-6,-1.3851332630744717e-6,-33.663300525846694,4.662815730322261e-5,2.03919520021723e-5
Higher,2016-2019,1.9216911507526655,Blood,51,5.519065755890649e-6,7.396434043470619e-6,-1.87736828757997e-6,-32.67419415993536,6.134149593809331e-5,2.6826555310273744e-5
Higher,2016-2019,1.9216911507526655,Blood,52,5.928049002166988e-6,8.377489217335197e-6,-2.4494402151682094e-6,-31.68667722569693,7.761462148167669e-5,3.394330223321384e-5
Higher,2016-2019,1.9216911507526655,Blood,53,6.37180345683442e-6,9.46300161004669e-6,-3.0911981532122695e-6,-30.700955388527515,9.490273659886852e-5,4.150393585176433e-5
Higher,2016-2019,1.9216911507526655,Blood,54,6.856414303358781e-6,1.064051779470414e-5,-3.784103491345359e-6,-29.71726014031403,1.1245318785018059e-4,4.91792972692417e-5
Higher,2016-2019,1.9216911507526655,Blood,55,7.389153840957414e-6,1.1899845569544964e-5,-4.510691728587551e-6,-28.73584846745686,1.2961855399610292e-4,5.6686248922318703e-5
Higher,2016-2019,1.9216911507526655,Blood,56,7.978720918820023e-6,1.323954356838166e-5,-5.260822649561636e-6,-27.757000385088777,1.460246563097661e-4,6.386115074714002e-5
Higher,2016-2019,1.9216911507526655,Blood,57,8.635562548371175e-6,1.4658575457425051e-5,-6.023012909053876e-6,-26.781017799208687,1.6130241592223556e-4,7.054259300727995e-5
Higher,2016-2019,1.9216911507526655,Blood,58,9.372267417528144e-6,1.6155913835201443e-5,-6.7836464176733e-6,-25.80822489024919,1.750738723232458e-4,7.656528174668677e-5
Higher,2016-2019,1.9216911507526655,Blood,59,1.0204066293946628e-5,1.773071456347269e-5,-7.526648269526063e-6,-24.838968748972334,1.869541811512646e-4,8.176091248578099e-5
