sex,educ,cause,mx,age,year
Females,Higher,All,2.622260429745585e-4,35,2016-2019
Females,Higher,All,2.800238874790361e-4,35,2020-2021
Females,Higher,All,2.90655996832425e-4,36,2016-2019
Females,Higher,All,3.103834433409301e-4,36,2020-2021
Females,Higher,All,3.2242266674814557e-4,37,2016-2019
Females,Higher,All,3.44306185343052e-4,37,2020-2021
Females,Higher,All,3.579356317109681e-4,38,2016-2019
Females,Higher,All,3.82229491479969e-4,38,2020-2021
Females,Higher,All,3.9765611928761145e-4,39,2016-2019
Females,Higher,All,4.246458938235516e-4,39,2020-2021
Females,Higher,All,4.4210360177364324e-4,40,2016-2019
Females,Higher,All,4.7211012236931225e-4,40,2020-2021
Females,Higher,All,4.918632345613497e-4,41,2016-2019
Females,Higher,All,5.252470482622708e-4,41,2020-2021
Females,Higher,All,5.475942427610659e-4,42,2016-2019
Females,Higher,All,5.84760639636278e-4,42,2020-2021
Females,Higher,All,6.100393750545456e-4,43,2016-2019
Females,Higher,All,6.514440571207094e-4,43,2020-2021
Females,Higher,All,6.800355581942999e-4,44,2016-2019
Females,Higher,All,7.261910314835498e-4,44,2020-2021
Females,Higher,All,7.58508232027385e-4,45,2016-2019
Females,Higher,All,8.099898141610847e-4,45,2020-2021
Females,Higher,All,8.463287272458394e-4,46,2016-2019
Females,Higher,All,9.037708749300628e-4,46,2020-2021
Females,Higher,All,9.443232389091416e-4,47,2016-2019
Females,Higher,All,0.0010084164844823907,47,2020-2021
Females,Higher,All,0.0010533130660177385,48,2016-2019
Females,Higher,All,0.0011248036851449052,48,2020-2021
Females,Higher,All,0.0011740912549718537,49,2016-2019
Females,Higher,All,0.0012537793490795914,49,2020-2021
Females,Higher,All,0.0013073931680831986,50,2016-2019
Females,Higher,All,0.0013961287492169877,50,2020-2021
Females,Higher,All,0.0014538611570398348,51,2016-2019
Females,Higher,All,0.0015525378350332774,51,2020-2021
Females,Higher,All,0.0016140032652704045,52,2016-2019
Females,Higher,All,0.001723549131955313,52,2020-2021
Females,Higher,All,0.0017881462068742647,53,2016-2019
Females,Higher,All,0.0019095115288697909,53,2020-2021
Females,Higher,All,0.001976397525123172,54,2016-2019
Females,Higher,All,0.0021105398682412023,54,2020-2021
Females,Higher,All,0.0021790284403745554,55,2016-2019
Females,Higher,All,0.0023269237787349175,55,2020-2021
Females,Higher,All,0.0023966982729312146,56,2016-2019
Females,Higher,All,0.0025593673301381632,56,2020-2021
Females,Higher,All,0.0026301197642271913,57,2016-2019
Females,Higher,All,0.0028086316391762824,57,2020-2021
Females,Higher,All,0.0028800446110024253,58,2016-2019
Females,Higher,All,0.0030755194218607565,58,2020-2021
Females,Higher,All,0.0031472718963051942,59,2016-2019
Females,Higher,All,0.003360883996721885,59,2020-2021
Females,Higher,All,0.0034326577277818166,60,2016-2019
Females,Higher,All,0.003665639577269902,60,2020-2021
Females,Higher,All,0.003737126165018534,61,2016-2019
Females,Higher,All,0.003990772940999017,61,2020-2021
Females,Higher,All,0.004061681531975881,62,2016-2019
Females,Higher,All,0.004337356577493112,62,2020-2021
Females,Higher,All,0.004407424837911387,63,2016-2019
Females,Higher,All,0.004706566223871789,63,2020-2021
Females,Higher,All,0.004776783933751745,64,2016-2019
Females,Higher,All,0.005100994514516409,64,2020-2021
Females,Higher,All,0.005176082973795902,65,2016-2019
Females,Higher,All,0.005527394837655406,65,2020-2021
Females,Higher,All,0.005613963884780113,66,2016-2019
Females,Higher,All,0.005994995666145804,66,2020-2021
Females,Higher,All,0.006101386763243376,67,2016-2019
Females,Higher,All,0.006515500981808695,67,2020-2021
Females,Higher,All,0.00665220855160366,68,2016-2019
Females,Higher,All,0.007103708227493161,68,2020-2021
Females,Higher,All,0.0072839896475703015,69,2016-2019
Females,Higher,All,0.007778369662801131,69,2020-2021
Females,Higher,All,0.00801912069283485,70,2016-2019
Females,Higher,All,0.008563395630345775,70,2020-2021
Females,Higher,All,0.008886401876246789,71,2016-2019
Females,Higher,All,0.009489541049624335,71,2020-2021
Females,Higher,All,0.009923268049599119,72,2016-2019
Females,Higher,All,0.010596781556189122,72,2020-2021
Females,Higher,All,0.01117644925406699,73,2016-2019
Females,Higher,All,0.01193501885943365,73,2020-2021
Females,Higher,All,0.01268959620387444,74,2016-2019
Females,Higher,All,0.01355086634126915,74,2020-2021
Females,Higher,All,0.014508410498055553,75,2016-2019
Females,Higher,All,0.015493127466372002,75,2020-2021
Females,Higher,All,0.01668601550953882,76,2016-2019
Females,Higher,All,0.017818531205040847,76,2020-2021
Females,Higher,All,0.01928319184668769,77,2016-2019
Females,Higher,All,0.020591983476017428,77,2020-2021
Females,Higher,All,0.022368217019211694,78,2016-2019
Females,Higher,All,0.02388639593017886,78,2020-2021
Females,Higher,All,0.026016128874019943,79,2016-2019
Females,Higher,All,0.027781899394201212,79,2020-2021
Females,Higher,All,0.030307180828007773,80,2016-2019
Females,Higher,All,0.032364194256678955,80,2020-2021
Females,Higher,All,0.03532422626664934,81,2016-2019
Females,Higher,All,0.037721757340234634,81,2020-2021
Females,Higher,All,0.041149543698106146,82,2016-2019
Females,Higher,All,0.04394245157202073,82,2020-2021
Females,Higher,All,0.04787629000308673,83,2016-2019
Females,Higher,All,0.051125756590236104,83,2020-2021
Females,Higher,All,0.055613073763133354,84,2016-2019
Females,Higher,All,0.05938765247402186,84,2020-2021
Females,Higher,All,0.0644728716927619,85,2016-2019
Females,Higher,All,0.0688487839100555,85,2020-2021
Females,Higher,All,0.07456990573176447,86,2016-2019
Females,Higher,All,0.07963112532640358,86,2020-2021
Females,Higher,All,0.08601603064042149,87,2016-2019
Females,Higher,All,0.0918541233060655,87,2020-2021
Females,Higher,All,0.09891614537068921,88,2016-2019
Females,Higher,All,0.10562979651807222,88,2020-2021
Females,Higher,All,0.1133625780333574,89,2016-2019
Females,Higher,All,0.12105673958031016,89,2020-2021
Females,Higher,All,0.12942844876880635,90,2016-2019
Females,Higher,All,0.13821303545406738,90,2020-2021
Females,Higher,All,0.14716044807522682,91,2016-2019
Females,Higher,All,0.15714854362188568,91,2020-2021
Females,Higher,All,0.16662523192147438,92,2016-2019
Females,Higher,All,0.1779344441363293,92,2020-2021
Females,Higher,All,0.1879975113201172,93,2016-2019
Females,Higher,All,0.2007573060214729,93,2020-2021
Females,Higher,All,0.21151080264782615,94,2016-2019
Females,Higher,All,0.22586649491180388,94,2020-2021
Females,Higher,All,0.2374595160181831,95,2016-2019
Females,Higher,All,0.2535764031673753,95,2020-2021
Females,Higher,All,0.2662138382630332,96,2016-2019
Females,Higher,All,0.28428234299505695,96,2020-2021
Females,Higher,All,0.29823811911808995,97,2016-2019
Females,Higher,All,0.31848018054402805,97,2020-2021
Females,Higher,All,0.33411394645276454,98,2016-2019
Females,Higher,All,0.356790977300996,98,2020-2021
Females,Higher,All,0.37456952165586965,99,2016-2019
Females,Higher,All,0.39999235924639304,99,2020-2021
Females,Higher,All,0.42051752566248457,100,2016-2019
Females,Higher,All,0.44905895292977854,100,2020-2021
Females,Higher,Blood,1.4975029489512688e-6,35,2016-2019
Females,Higher,Blood,1.5377913119384099e-6,35,2020-2021
Females,Higher,Blood,1.6430790322204318e-6,36,2016-2019
Females,Higher,Blood,1.6872839297887609e-6,36,2020-2021
Females,Higher,Blood,1.8013758593046752e-6,37,2016-2019
Females,Higher,Blood,1.8498395264692474e-6,37,2020-2021
Females,Higher,Blood,1.9729443094007663e-6,38,2016-2019
Females,Higher,Blood,2.0260238018626798e-6,38,2020-2021
Females,Higher,Blood,2.1582383426228914e-6,39,2016-2019
Females,Higher,Blood,2.216302929287813e-6,39,2020-2021
